freq,psd_x,psd_y,psd_z,psd_xyz,zv(124.4),mzv(31.0),ei(41.0),2hump_ei(44.0),3hump_ei(48.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.998,0.986,0.986,0.980,0.975
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.965,0.966,0.951,0.939
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.936,0.939,0.913,0.891
6.2,1.510e+05,3.458e+04,1.624e+04,2.018e+05,0.990,0.901,0.906,0.867,0.834
7.7,1.554e+05,3.403e+04,1.461e+04,2.040e+05,0.987,0.860,0.867,0.814,0.769
9.2,1.378e+05,3.164e+04,1.349e+04,1.829e+05,0.983,0.813,0.824,0.755,0.699
10.8,1.200e+05,3.043e+04,1.267e+04,1.631e+05,0.979,0.761,0.776,0.692,0.624
12.3,1.131e+05,3.010e+04,1.240e+04,1.556e+05,0.975,0.706,0.725,0.625,0.548
13.8,1.077e+05,2.817e+04,1.138e+04,1.472e+05,0.970,0.646,0.670,0.557,0.471
15.4,9.651e+04,2.819e+04,1.165e+04,1.363e+05,0.965,0.585,0.614,0.488,0.396
16.9,8.654e+04,2.579e+04,1.103e+04,1.234e+05,0.960,0.521,0.556,0.420,0.325
18.5,8.236e+04,2.261e+04,9.519e+03,1.145e+05,0.954,0.457,0.497,0.355,0.258
20.0,7.226e+04,2.077e+04,9.027e+03,1.021e+05,0.948,0.393,0.438,0.292,0.198
21.5,6.239e+04,1.905e+04,8.194e+03,8.963e+04,0.941,0.329,0.380,0.234,0.146
23.1,5.711e+04,1.762e+04,7.679e+03,8.241e+04,0.935,0.268,0.324,0.180,0.102
24.6,5.251e+04,1.652e+04,7.214e+03,7.624e+04,0.928,0.208,0.270,0.133,0.068
26.2,4.446e+04,1.540e+04,6.906e+03,6.677e+04,0.920,0.152,0.219,0.093,0.046
27.7,4.199e+04,1.449e+04,6.811e+03,6.330e+04,0.912,0.100,0.172,0.060,0.037
29.2,4.133e+04,1.419e+04,6.586e+03,6.210e+04,0.904,0.056,0.128,0.037,0.038
30.8,3.722e+04,1.291e+04,6.000e+03,5.613e+04,0.896,0.035,0.090,0.028,0.040
32.3,3.221e+04,1.161e+04,5.660e+03,4.948e+04,0.887,0.043,0.057,0.030,0.039
33.9,3.263e+04,1.138e+04,5.507e+03,4.952e+04,0.878,0.067,0.032,0.036,0.036
35.4,2.920e+04,1.124e+04,5.414e+03,4.585e+04,0.869,0.092,0.020,0.038,0.030
36.9,2.670e+04,1.071e+04,5.351e+03,4.276e+04,0.859,0.112,0.026,0.037,0.023
38.5,2.632e+04,1.074e+04,5.603e+03,4.266e+04,0.849,0.125,0.034,0.033,0.015
40.0,2.632e+04,1.071e+04,5.648e+03,4.268e+04,0.839,0.132,0.039,0.026,0.012
41.5,2.630e+04,1.068e+04,5.483e+03,4.247e+04,0.829,0.133,0.039,0.018,0.015
43.1,2.627e+04,1.097e+04,5.605e+03,4.284e+04,0.818,0.127,0.034,0.012,0.021
44.6,2.744e+04,1.067e+04,5.457e+03,4.356e+04,0.807,0.116,0.029,0.011,0.026
46.2,2.793e+04,1.014e+04,5.259e+03,4.333e+04,0.796,0.099,0.028,0.016,0.029
47.7,2.899e+04,9.517e+03,4.959e+03,4.346e+04,0.784,0.090,0.033,0.023,0.030
49.2,2.833e+04,8.818e+03,4.793e+03,4.194e+04,0.772,0.083,0.045,0.029,0.028
50.8,2.840e+04,8.955e+03,4.660e+03,4.201e+04,0.760,0.080,0.068,0.032,0.025
52.3,2.803e+04,8.831e+03,4.421e+03,4.128e+04,0.748,0.085,0.100,0.031,0.019
53.9,2.909e+04,8.529e+03,4.405e+03,4.203e+04,0.736,0.099,0.135,0.027,0.014
55.4,2.901e+04,8.641e+03,4.642e+03,4.230e+04,0.723,0.119,0.172,0.027,0.012
56.9,2.703e+04,8.457e+03,4.542e+03,4.003e+04,0.710,0.145,0.210,0.028,0.013
58.5,2.492e+04,7.350e+03,4.038e+03,3.631e+04,0.697,0.190,0.250,0.033,0.014
60.0,2.514e+04,6.826e+03,3.903e+03,3.587e+04,0.683,0.235,0.290,0.041,0.019
61.5,2.701e+04,6.544e+03,3.873e+03,3.742e+04,0.669,0.281,0.330,0.057,0.023
63.1,3.002e+04,6.214e+03,3.753e+03,3.998e+04,0.655,0.325,0.369,0.086,0.025
64.6,3.185e+04,5.776e+03,3.217e+03,4.085e+04,0.641,0.369,0.407,0.117,0.024
66.2,3.459e+04,5.698e+03,3.056e+03,4.334e+04,0.627,0.411,0.442,0.151,0.024
67.7,3.820e+04,5.735e+03,3.070e+03,4.701e+04,0.613,0.450,0.476,0.186,0.026
69.2,4.512e+04,5.736e+03,2.960e+03,5.382e+04,0.598,0.486,0.506,0.222,0.029
70.8,5.021e+04,6.004e+03,3.068e+03,5.928e+04,0.583,0.519,0.534,0.259,0.035
72.3,5.796e+04,6.497e+03,3.215e+03,6.767e+04,0.568,0.548,0.558,0.294,0.043
73.9,6.964e+04,6.565e+03,2.975e+03,7.918e+04,0.553,0.573,0.578,0.329,0.067
75.4,7.639e+04,6.914e+03,2.945e+03,8.625e+04,0.538,0.593,0.593,0.361,0.094
76.9,7.092e+04,6.516e+03,2.859e+03,8.029e+04,0.522,0.608,0.605,0.391,0.123
78.5,5.923e+04,5.022e+03,2.717e+03,6.697e+04,0.506,0.619,0.612,0.416,0.155
80.0,5.691e+04,5.375e+03,2.542e+03,6.482e+04,0.491,0.625,0.614,0.438,0.186
81.6,5.391e+04,5.124e+03,2.301e+03,6.133e+04,0.475,0.625,0.612,0.456,0.218
83.1,4.815e+04,4.985e+03,2.013e+03,5.515e+04,0.459,0.621,0.606,0.469,0.249
84.6,4.358e+04,5.823e+03,1.971e+03,5.137e+04,0.442,0.612,0.595,0.476,0.277
86.2,3.662e+04,5.808e+03,1.863e+03,4.429e+04,0.426,0.598,0.580,0.479,0.303
87.7,2.895e+04,6.111e+03,1.661e+03,3.672e+04,0.410,0.581,0.562,0.477,0.326
89.2,2.504e+04,5.733e+03,1.516e+03,3.229e+04,0.393,0.559,0.540,0.469,0.345
90.8,2.405e+04,4.882e+03,1.393e+03,3.033e+04,0.377,0.533,0.514,0.457,0.359
92.3,2.467e+04,4.657e+03,1.373e+03,3.070e+04,0.360,0.504,0.486,0.440,0.368
93.9,2.543e+04,4.588e+03,1.431e+03,3.145e+04,0.343,0.472,0.456,0.419,0.372
95.4,2.811e+04,4.388e+03,1.367e+03,3.387e+04,0.326,0.438,0.424,0.395,0.370
96.9,3.829e+04,4.490e+03,1.255e+03,4.403e+04,0.309,0.403,0.390,0.368,0.364
98.5,6.032e+04,4.547e+03,1.154e+03,6.602e+04,0.293,0.366,0.355,0.339,0.353
100.0,7.113e+04,4.427e+03,1.238e+03,7.679e+04,0.276,0.328,0.320,0.307,0.338
101.6,7.664e+04,4.697e+03,1.395e+03,8.273e+04,0.259,0.291,0.285,0.275,0.319
103.1,8.133e+04,4.459e+03,1.504e+03,8.729e+04,0.242,0.254,0.250,0.243,0.296
104.6,7.964e+04,4.038e+03,1.608e+03,8.528e+04,0.224,0.223,0.216,0.211,0.271
106.2,8.660e+04,4.156e+03,1.545e+03,9.230e+04,0.207,0.208,0.184,0.180,0.244
107.7,1.131e+05,4.508e+03,1.563e+03,1.192e+05,0.190,0.195,0.160,0.150,0.216
109.2,1.276e+05,5.073e+03,1.515e+03,1.342e+05,0.173,0.183,0.146,0.123,0.188
