freq,psd_x,psd_y,psd_z,psd_xyz,zv(124.4),mzv(31.0),ei(41.0),2hump_ei(44.0),3hump_ei(48.0)
110.8,1.438e+05,5.860e+03,1.495e+03,1.511e+05,0.156,0.173,0.134,0.098,0.160
112.3,1.727e+05,6.215e+03,1.450e+03,1.803e+05,0.140,0.166,0.123,0.088,0.133
113.9,1.937e+05,6.071e+03,1.350e+03,2.011e+05,0.123,0.160,0.115,0.079,0.109
115.4,1.959e+05,6.079e+03,1.275e+03,2.032e+05,0.109,0.156,0.108,0.072,0.086
116.9,1.938e+05,6.054e+03,1.230e+03,2.011e+05,0.096,0.153,0.102,0.066,0.066
118.5,1.997e+05,6.547e+03,1.415e+03,2.077e+05,0.085,0.151,0.099,0.061,0.060
120.0,2.053e+05,7.022e+03,1.609e+03,2.139e+05,0.075,0.150,0.096,0.057,0.054
121.6,2.084e+05,7.495e+03,1.623e+03,2.176e+05,0.068,0.150,0.095,0.054,0.049
123.1,2.208e+05,8.325e+03,1.777e+03,2.309e+05,0.063,0.150,0.095,0.052,0.045
124.6,2.507e+05,9.168e+03,2.144e+03,2.620e+05,0.062,0.151,0.097,0.050,0.042
126.2,2.885e+05,9.339e+03,2.536e+03,3.004e+05,0.065,0.152,0.099,0.049,0.039
127.7,3.213e+05,9.388e+03,3.298e+03,3.340e+05,0.070,0.154,0.103,0.048,0.037
129.3,2.782e+05,7.606e+03,3.776e+03,2.896e+05,0.079,0.156,0.107,0.047,0.035
130.8,1.921e+05,5.334e+03,2.951e+03,2.004e+05,0.089,0.159,0.113,0.047,0.033
132.3,1.197e+05,4.327e+03,2.547e+03,1.266e+05,0.100,0.163,0.120,0.047,0.032
133.9,3.013e+04,2.786e+03,1.923e+03,3.484e+04,0.112,0.167,0.127,0.048,0.031
135.4,1.195e+04,3.075e+03,2.094e+03,1.712e+04,0.126,0.173,0.136,0.049,0.030
136.9,1.261e+04,3.834e+03,2.425e+03,1.887e+04,0.142,0.179,0.145,0.050,0.030
138.5,1.334e+04,3.891e+03,2.303e+03,1.954e+04,0.158,0.187,0.159,0.052,0.030
140.0,1.392e+04,3.680e+03,2.105e+03,1.970e+04,0.174,0.195,0.184,0.054,0.029
141.6,1.339e+04,3.413e+03,1.900e+03,1.870e+04,0.190,0.204,0.209,0.056,0.029
143.1,1.345e+04,2.977e+03,1.619e+03,1.804e+04,0.206,0.217,0.234,0.059,0.029
144.6,1.365e+04,2.724e+03,1.381e+03,1.776e+04,0.222,0.243,0.258,0.063,0.030
146.2,1.208e+04,2.499e+03,1.246e+03,1.583e+04,0.237,0.268,0.282,0.067,0.030
147.7,1.111e+04,2.405e+03,1.196e+03,1.471e+04,0.253,0.294,0.305,0.071,0.030
149.3,1.120e+04,2.313e+03,1.104e+03,1.461e+04,0.268,0.318,0.327,0.076,0.031
150.8,1.068e+04,2.149e+03,1.081e+03,1.391e+04,0.284,0.341,0.347,0.081,0.031
152.3,1.131e+04,1.869e+03,1.031e+03,1.421e+04,0.299,0.362,0.364,0.089,0.032
153.9,1.193e+04,1.820e+03,1.032e+03,1.478e+04,0.314,0.382,0.380,0.106,0.033
155.4,1.350e+04,1.805e+03,9.988e+02,1.630e+04,0.329,0.399,0.393,0.123,0.034
156.9,1.937e+04,1.695e+03,9.282e+02,2.199e+04,0.343,0.413,0.404,0.142,0.036
158.5,2.357e+04,1.687e+03,1.080e+03,2.634e+04,0.358,0.424,0.412,0.160,0.037
160.0,2.498e+04,1.852e+03,1.323e+03,2.815e+04,0.372,0.433,0.418,0.178,0.039
161.6,2.711e+04,1.807e+03,1.315e+03,3.023e+04,0.386,0.439,0.420,0.196,0.041
163.1,2.925e+04,1.853e+03,1.280e+03,3.238e+04,0.400,0.442,0.420,0.213,0.043
164.6,2.837e+04,1.887e+03,1.250e+03,3.151e+04,0.414,0.441,0.417,0.228,0.046
166.2,2.648e+04,1.980e+03,1.402e+03,2.986e+04,0.428,0.438,0.411,0.241,0.049
167.7,2.724e+04,1.827e+03,1.384e+03,3.045e+04,0.441,0.432,0.403,0.253,0.052
169.3,3.129e+04,1.824e+03,1.422e+03,3.453e+04,0.454,0.423,0.393,0.263,0.055
170.8,3.210e+04,1.762e+03,1.378e+03,3.524e+04,0.467,0.412,0.380,0.270,0.066
172.3,2.700e+04,1.739e+03,1.287e+03,3.002e+04,0.480,0.398,0.365,0.274,0.077
173.9,2.146e+04,1.661e+03,1.240e+03,2.436e+04,0.493,0.383,0.349,0.276,0.090
175.4,1.858e+04,1.673e+03,1.251e+03,2.150e+04,0.505,0.365,0.331,0.276,0.103
177.0,1.776e+04,1.631e+03,1.205e+03,2.060e+04,0.517,0.347,0.312,0.272,0.116
178.5,1.746e+04,1.529e+03,1.154e+03,2.014e+04,0.529,0.327,0.292,0.267,0.128
180.0,1.797e+04,1.444e+03,1.156e+03,2.058e+04,0.541,0.306,0.271,0.259,0.141
181.6,1.549e+04,1.346e+03,1.132e+03,1.797e+04,0.552,0.285,0.250,0.249,0.152
183.1,1.248e+04,1.197e+03,1.045e+03,1.472e+04,0.564,0.264,0.229,0.238,0.162
184.6,1.163e+04,1.018e+03,9.519e+02,1.360e+04,0.574,0.244,0.208,0.224,0.170
186.2,1.120e+04,8.889e+02,8.804e+02,1.297e+04,0.585,0.231,0.188,0.210,0.177
187.7,1.136e+04,7.940e+02,7.692e+02,1.293e+04,0.596,0.225,0.181,0.195,0.181
189.3,1.149e+04,7.170e+02,7.041e+02,1.291e+04,0.606,0.220,0.175,0.179,0.184
190.8,1.118e+04,6.489e+02,6.376e+02,1.247e+04,0.616,0.215,0.170,0.163,0.184
192.3,1.126e+04,6.038e+02,5.972e+02,1.246e+04,0.625,0.211,0.165,0.148,0.182
193.9,1.145e+04,5.622e+02,5.772e+02,1.259e+04,0.635,0.207,0.161,0.132,0.179
195.4,1.051e+04,5.601e+02,6.494e+02,1.172e+04,0.644,0.203,0.157,0.118,0.173
197.0,3.714e+03,2.734e+02,3.767e+02,4.364e+03,0.653,0.200,0.154,0.104,0.166
