freq,psd_x,psd_y,psd_z,psd_xyz
173.9,2.313e+05,7.691e+04,4.018e+04,3.484e+05
175.5,2.283e+05,8.690e+04,4.397e+04,3.592e+05
177.0,2.309e+05,9.380e+04,4.872e+04,3.735e+05
178.6,2.514e+05,9.910e+04,4.399e+04,3.945e+05
180.1,2.654e+05,1.022e+05,3.646e+04,4.041e+05
181.6,2.650e+05,1.075e+05,3.289e+04,4.054e+05
183.2,2.661e+05,1.060e+05,3.222e+04,4.043e+05
184.7,2.579e+05,1.119e+05,3.787e+04,4.076e+05
186.2,2.568e+05,1.160e+05,4.640e+04,4.192e+05
187.8,2.538e+05,1.075e+05,4.613e+04,4.075e+05
189.3,2.535e+05,9.550e+04,4.192e+04,3.909e+05
190.9,2.408e+05,8.723e+04,3.662e+04,3.646e+05
192.4,2.071e+05,8.134e+04,3.208e+04,3.205e+05
193.9,2.023e+05,7.566e+04,2.728e+04,3.052e+05
195.5,2.383e+05,7.743e+04,2.263e+04,3.383e+05
197.0,1.349e+05,4.692e+04,6.902e+03,1.887e+05
